year,month,Average Rainfall,nino3,nino3.4,nino4,Arabian_Sea,equatorialindianocean,bayofbengal,SPI_1,Drought_Category,Drought_Category_Encoded
1932,3,0.24091707461290324,27.47277467660209,27.482893053475934,27.95905409090909,26.976729630434782,28.55400836727273,28.057100056939504,0.9362913638631291,No drought,1
1932,4,0.045034629166666604,27.77263478390462,27.982225857397506,28.284609912023463,28.37640128532609,29.098593694545457,29.03909561565836,-0.5917526714630342,Mild drought,2
1932,5,0.1792093296451613,27.5895378733234,28.12049303208556,28.625233457478007,29.394520076086955,28.919864469090907,29.450149195729537,-0.27120240282947955,Mild drought,2
1932,6,0.5193639698183333,26.94331503129657,27.86293586631016,28.48961361583578,28.709719907608697,28.171206163636363,28.802241352313168,-0.44420926675200517,Mild drought,2
1932,7,2.9899790948419356,25.783678728763043,27.114913007130124,28.067500328445742,27.247192133152176,27.77834081636364,28.34932384697509,0.14990959967357467,No drought,1
1932,8,4.767971510520967,25.305722886736216,26.985319171122995,28.19366597947214,26.47166808423913,27.658822038181818,28.13687013879004,0.7978037085379261,No drought,1
1932,9,0.2825030802166667,24.986156871833085,26.80172931194296,28.198431844574777,27.017171198369564,27.675044521818183,28.13789272597865,-0.7665360442113218,Mild drought,2
1932,10,0.03,24.97495751415797,26.769065048128343,28.25337140469209,27.846093445652173,27.77311855090909,28.4228549430605,-0.7388873902135528,Mild drought,2
1932,11,0.03,24.87488703725782,26.62849568805704,28.106565744868035,27.39542468206522,27.731222885454542,27.87104009252669,-0.5039753172388791,Mild drought,2
1932,12,0.03,24.846109795827125,26.20076589483066,27.4743077771261,26.65145186956521,27.69759142909091,26.85202521352313,-0.5602438005461869,Mild drought,2
1933,1,0.03,25.41474806408345,26.370989456327987,27.505700850439883,25.87218123097826,27.893845329090908,26.79980703202847,-0.821697121928032,Mild drought,2
1933,2,0.394031521225,26.35374882712369,26.664383614973264,27.496779428152493,26.08273323369565,28.1638447,27.25751233451957,1.2028672532688711,No drought,1
1933,3,0.09657928832258059,26.98179604321908,27.04709428163993,27.590023255131964,27.10464900271739,28.62091624363637,28.16889825978648,0.06895294023441381,No drought,1
1933,4,0.6293040948033334,27.489953782414307,27.756718080213904,28.16733928739003,28.543231385869564,29.236552867272728,29.191647046263345,1.8866777068960106,No drought,1
1933,5,0.6861577046709677,26.6331578271237,27.443315247771835,27.99325407038124,29.48086350815217,29.022258581818186,29.776825199288258,0.8990600142835375,No drought,1
1933,6,1.7024814939666668,25.804444511177344,26.83312921033868,27.52728381231672,28.437805687500003,28.29768635454545,28.660977263345195,0.8490191334263489,No drought,1
1933,7,1.2249675222774192,25.02357393293592,26.57659468092692,27.73554820234604,27.14517232608696,27.81365248,28.28419581850534,-0.914687418956583,Mild drought,2
1933,8,9.34556360452258,24.294418470938897,25.96929859714795,27.31977548680352,26.34500531793478,27.602452907272728,28.11724503558719,1.9056475065615501,No drought,1
1933,9,0.8010122573633334,24.34752915052161,26.014534,27.27364616129032,26.525290407608697,27.550535234545457,28.26491219572954,-0.08515956149808555,Mild drought,2
1933,10,0.047809421370967706,24.108758792846498,25.665246641711228,26.93728335777126,27.46495314402174,27.67633305454545,28.430242861209965,-0.5043063860613562,Mild drought,2
1933,11,0.03,24.10588471684054,25.62606192513369,27.087242237536657,27.299797657608693,27.70341959090909,27.85214375800712,-0.5039753172388791,Mild drought,2
1933,12,0.03,24.138043821162444,25.39786454901961,26.594293967741937,26.47670768206521,27.65234405818181,26.97811058362989,-0.5602438005461869,Mild drought,2
